locus_tag,old_locus_tag,start,end,Product,Length
SARO_RS00340,Saro_0068,69911,71506,ATP-dependent DNA ligase,1595
SARO_RS00345,NA,71562,71750,hypothetical protein,188
SARO_RS00350,Saro_0069,71824,72219,globin,395
SARO_RS00355,Saro_0070,72269,72907,DUF1275 domain-containing protein,638
SARO_RS00360,Saro_0071,72885,73172,DUF167 domain-containing protein,287
SARO_RS00365,Saro_0072,73153,73716,gamma carbonic anhydrase family protein,563
SARO_RS00370,Saro_0073,73731,74723,porphobilinogen synthase,992
SARO_RS00375,Saro_0074,74760,76301,M23 family peptidase,1541
SARO_RS00380,Saro_0075,76481,77512,DUF3667 domain-containing protein,1031
SARO_RS00385,Saro_0076,77647,79581,ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein,1934
SARO_RS00390,Saro_0077,79691,80671,tRNA(Ile)-lysidine synthetase,980
SARO_RS00395,Saro_0078,80685,81668,hypothetical protein,983
SARO_RS00400,Saro_0079,81777,82823,DUF4115 domain-containing protein,1046
SARO_RS00405,Saro_0080,82906,85185,phosphoenolpyruvate--protein phosphotransferase,2279
SARO_RS20440,Saro_0081,85389,85547,DUF465 domain-containing protein,158
SARO_RS00410,Saro_0082,85777,85974,DUF465 domain-containing protein,197
SARO_RS00415,Saro_0083,86111,86605,DUF1465 domain-containing protein,494
SARO_RS00420,Saro_0084,86610,88079,glycerol kinase,1469
SARO_RS00425,Saro_0085,88076,89545,glycerol-3-phosphate dehydrogenase,1469
SARO_RS00430,Saro_0086,89620,90519,MBL fold hydrolase,899
SARO_RS00435,Saro_0087,90501,91166,DUF4230 domain-containing protein,665
SARO_RS00440,Saro_0088,91248,91976,hypothetical protein,728
SARO_RS00445,Saro_0089,92038,93036,quinolinate synthase NadA,998
SARO_RS00450,Saro_0090,93172,94065,EamA/RhaT family transporter,893
SARO_RS00455,Saro_0091,94149,95252,alkene reductase,1103
SARO_RS00460,Saro_0092,95267,96148,CoA ester lyase,881
SARO_RS00465,Saro_0093,96131,96439,hypothetical protein,308
SARO_RS00470,Saro_0094,96436,97104,lipoate-protein ligase B,668
SARO_RS00475,Saro_0095,97182,98003,hypothetical protein,821
SARO_RS00480,Saro_0096,98012,98638,methyltransferase domain-containing protein,626
SARO_RS00485,Saro_0097,98805,100091,MFS transporter,1286
SARO_RS00490,Saro_0098,100159,101661,hypothetical protein,1502
SARO_RS00495,Saro_0099,101654,102610,CDP-alcohol phosphatidyltransferase,956
SARO_RS00500,Saro_0100,102849,103934,CDP-alcohol phosphatidyltransferase,1085
SARO_RS00505,Saro_0101,104030,105130,inositol-3-phosphate synthase,1100
SARO_RS00510,Saro_0102,105225,105974,nucleotidyltransferase,749
SARO_RS00515,Saro_0103,106017,106511,DUF2141 domain-containing protein,494
SARO_RS00520,Saro_0104,106888,107547,ribulose-phosphate 3-epimerase,659
SARO_RS00525,Saro_0105,107549,109435,heparinase,1886
SARO_RS00530,Saro_0106,109446,111035,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH,1589
SARO_RS00535,Saro_0107,111134,112870,CBS domain-containing protein,1736
SARO_RS00540,Saro_0108,112945,113574,cell wall hydrolase,629
SARO_RS00545,Saro_0109,113790,114131,DUF1491 domain-containing protein,341
SARO_RS00550,Saro_0110,114133,114615,PaaI family thioesterase,482
SARO_RS00555,Saro_0111,114602,115063,PTS IIA-like nitrogen-regulatory protein PtsN,461
SARO_RS00560,Saro_0112,115237,115818,ribosomal subunit interface protein,581
SARO_RS00565,Saro_0113,115877,116566,DNA polymerase III subunit epsilon,689
SARO_RS00570,Saro_0114,116615,117220,dephospho-CoA kinase,605
SARO_RS00575,Saro_0115,117217,118089,shikimate dehydrogenase,872
SARO_RS00580,Saro_0116,118086,118673,maf-like protein,587
SARO_RS00585,Saro_0117,118670,119512,phosphoenolpyruvate synthase regulatory protein,842
SARO_RS00590,Saro_0118,119850,120875,uroporphyrinogen decarboxylase,1025
SARO_RS00595,Saro_0119,120955,121398,CopD family protein,443
SARO_RS00600,Saro_0120,121800,123056,transcription termination factor Rho,1256
SARO_RS00605,Saro_0121,123162,125729,ATP-dependent helicase,2567
SARO_RS20445,Saro_0122,125747,126037,RNA-binding S4 domain-containing protein,290
SARO_RS00610,Saro_0123,126051,126389,ferredoxin family protein,338
SARO_RS00615,Saro_0124,126726,127250,CarD family transcriptional regulator,524
SARO_RS00620,Saro_0125,127480,128208,DUF2807 domain-containing protein,728
SARO_RS00625,Saro_0126,128212,129159,threonylcarbamoyl-AMP synthase,947
SARO_RS00630,Saro_0127,129220,130938,acyl-CoA dehydrogenase,1718
SARO_RS00635,Saro_0128,130935,131750,DUF815 domain-containing protein,815
SARO_RS00640,Saro_0129,131784,133289,sorbosone dehydrogenase,1505
SARO_RS00645,Saro_0130,133354,133836,GAF domain-containing protein,482
SARO_RS00650,NA,133981,134679,glycine zipper 2TM domain-containing protein,698
SARO_RS00655,Saro_0132,134788,135942,acyl-CoA dehydrogenase,1154
SARO_RS00660,Saro_0133,136094,137041,chromosome partitioning protein ParB,947
SARO_RS00665,Saro_0134,137038,137814,ParA family protein,776
SARO_RS00670,Saro_0135,137811,138503,ribosomal RNA small subunit methyltransferase G,692
SARO_RS00675,Saro_0136,138500,140359,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,1859
SARO_RS00680,Saro_0137,140445,141758,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,1313
SARO_RS00685,Saro_0138,141791,142051,hypothetical protein,260
SARO_RS00690,Saro_0139,142162,142860,dienelactone hydrolase family protein,698
SARO_RS00695,Saro_0140,142959,143342,nuclear transport factor 2 family protein,383
SARO_RS00700,Saro_0141,143400,143744,DNA-directed RNA polymerase subunit omega,344
SARO_RS00705,Saro_0142,143844,145358,replicative DNA helicase,1514
SARO_RS00710,Saro_0143,145505,145999,UPF0262 family protein,494
SARO_RS00715,Saro_0144,146028,146723,lysozyme,695
SARO_RS00720,Saro_0145,146720,147157,cytidine deaminase,437
SARO_RS00725,Saro_0146,147206,147760,deoxycytidine triphosphate deaminase,554
SARO_RS00730,Saro_0147,147894,149066,saccharopine dehydrogenase,1172
SARO_RS00735,Saro_0148,149157,149603,bacitracin resistance protein BacA,446
SARO_RS00740,Saro_0149,149684,150133,hypothetical protein,449
SARO_RS00745,Saro_0150,150130,150531,hypothetical protein,401
SARO_RS00750,Saro_0151,150718,151713,adenosine kinase,995
SARO_RS00755,Saro_0152,151725,153050,Xaa-Pro aminopeptidase,1325
SARO_RS00760,Saro_0153,153225,153653,CBS domain-containing protein,428
SARO_RS00765,Saro_0154,153797,154090,hypothetical protein,293
SARO_RS00770,Saro_0155,154122,154466,iron-sulfur cluster assembly accessory protein,344
SARO_RS00775,Saro_0156,154525,155304,exodeoxyribonuclease III,779
SARO_RS00780,Saro_0158,155613,156290,peptide-methionine (S)-S-oxide reductase,677
SARO_RS00785,Saro_0159,156327,156797,transcriptional repressor,470
SARO_RS00790,Saro_0160,156827,158104,MFS transporter,1277
SARO_RS00795,Saro_0161,158147,160069,1-deoxy-D-xylulose-5-phosphate synthase,1922
SARO_RS00800,Saro_0162,160099,160794,hypothetical protein,695
SARO_RS00805,Saro_0163,160892,163015,amino acid transporter,2123
SARO_RS00810,Saro_0164,163049,163438,GntR family transcriptional regulator,389
SARO_RS00815,Saro_0165,163591,163872,integration host factor subunit beta,281
SARO_RS00825,Saro_0166,164436,165092,PilZ domain-containing protein,656
SARO_RS00830,Saro_0167,165119,166585,sulfotransferase family protein,1466
SARO_RS00835,Saro_0168,166719,169919,TonB-dependent receptor,3200
SARO_RS00840,Saro_0169,170278,171132,M23 family peptidase,854
SARO_RS00845,Saro_0170,171151,171354,DUF2093 domain-containing protein,203
SARO_RS00850,Saro_0171,171381,172862,exodeoxyribonuclease VII large subunit,1481
SARO_RS00855,Saro_0172,172861,174150,phosphoribosylamine--glycine ligase,1289
SARO_RS00860,Saro_0173,174140,174769,isochorismatase,629
SARO_RS00865,Saro_0174,174769,175971,CoA transferase,1202
SARO_RS00870,Saro_0175,175968,177854,5-oxoprolinase,1886
SARO_RS00875,Saro_0176,177868,179916,hydantoinase/oxoprolinase family protein,2048
SARO_RS00880,Saro_0177,179921,180835,hydroxymethylglutaryl-CoA lyase,914
SARO_RS00885,Saro_0178,181101,183626,TonB-dependent receptor,2525
SARO_RS00890,Saro_0179,183684,184328,GntR family transcriptional regulator,644
SARO_RS00895,Saro_0180,184339,184839,hemerythrin,500
SARO_RS00900,Saro_0181,184954,185745,histidine phosphatase family protein,791
SARO_RS00905,Saro_0182,185738,186619,NAD(P)H-hydrate dehydratase,881
SARO_RS00910,Saro_0183,186588,186974,ferredoxin,386
SARO_RS00915,Saro_0184,186971,189067,S9 family peptidase,2096
SARO_RS00920,Saro_0185,189125,189562,DUF2497 domain-containing protein,437
SARO_RS00925,Saro_0186,189604,191061,membrane protein,1457
SARO_RS00930,Saro_0187,191067,191660,protein-L-isoaspartate O-methyltransferase,593
SARO_RS00935,Saro_0188,191828,193351,fumarate hydratase,1523
SARO_RS00945,NA,194480,195367,hypothetical protein,887
SARO_RS00950,Saro_0190,195378,196112,DNA-binding response regulator,734
SARO_RS00955,Saro_0191,196166,197983,long-chain fatty acid--CoA ligase,1817
SARO_RS00960,Saro_0192,198104,199855,gamma-glutamyltransferase,1751
SARO_RS00965,Saro_0193,199866,200915,dihydroorotate dehydrogenase (quinone),1049
SARO_RS00970,Saro_0194,201349,201789,SUF system Fe-S cluster assembly regulator,440
SARO_RS00975,Saro_0195,201786,203267,Fe-S cluster assembly protein SufB,1481
SARO_RS00980,Saro_0196,203407,203928,endonuclease domain-containing protein,521
SARO_RS00985,Saro_0197,203940,204683,Fe-S cluster assembly ATPase SufC,743
SARO_RS00990,Saro_0198,204680,205414,SufBD,734
SARO_RS00995,Saro_0199,205411,206622,cysteine desulfurase,1211
SARO_RS01000,Saro_0200,206619,207101,SUF system Fe-S cluster assembly protein,482
SARO_RS01005,Saro_0201,207125,207487,iron-sulfur cluster assembly accessory protein,362
SARO_RS01015,Saro_0203,208948,209634,sulfite exporter TauE/SafE family protein,686
SARO_RS01020,Saro_0204,209688,211682,threonine--tRNA ligase,1994
SARO_RS01025,Saro_0205,212005,212925,KR domain-containing protein,920
SARO_RS01030,Saro_0206,213013,213429,hypothetical protein,416
SARO_RS01035,Saro_0207,213426,213617,transcriptional regulator,191
SARO_RS01040,Saro_0208,213651,214397,alpha/beta hydrolase,746
SARO_RS01045,Saro_0209,214390,215325,hypothetical protein,935
SARO_RS01050,Saro_0210,215322,216314,LLM class flavin-dependent oxidoreductase,992
SARO_RS01055,Saro_0211,216557,221278,glutamate dehydrogenase,4721
SARO_RS01060,Saro_0212,221359,222126,molybdate ABC transporter substrate-binding protein,767
SARO_RS01065,Saro_0213,222107,222826,molybdate ABC transporter permease subunit,719
SARO_RS01070,Saro_0214,222816,223424,molybdate ABC transporter ATP-binding protein,608
SARO_RS01075,Saro_0215,223426,224685,6-aminohexanoate-dimer hydrolase,1259
SARO_RS01080,Saro_0216,224840,226087,pyridine nucleotide-disulfide oxidoreductase,1247
SARO_RS01085,Saro_0217,226099,227148,tRNA epoxyqueuosine(34) reductase QueG,1049
SARO_RS01090,Saro_0218,227195,228184,ABC transporter ATP-binding protein,989
SARO_RS01095,Saro_0219,228181,229425,ABC transporter permease,1244
SARO_RS01100,Saro_0220,229503,230840,cytochrome P450,1337
SARO_RS01105,Saro_0221,230975,231466,peptide-methionine (R)-S-oxide reductase,491
SARO_RS01110,Saro_0222,231568,231852,50S ribosomal protein L28,284
SARO_RS01115,Saro_0223,231976,232431,nucleoside deaminase,455
SARO_RS01120,Saro_0224,232442,233143,ribonuclease T(2),701
SARO_RS01125,Saro_0225,233145,233567,hypothetical protein,422
SARO_RS01130,Saro_0226,233605,234471,nicotinate-nucleotide diphosphorylase (carboxylating),866
SARO_RS01135,Saro_0227,234587,235384,DNA-binding response regulator,797
SARO_RS01140,Saro_0228,235497,236642,sensor histidine kinase,1145
SARO_RS01145,Saro_0229,236715,237512,DSBA oxidoreductase,797
SARO_RS01150,Saro_0230,237523,238878,peptidase M48,1355
SARO_RS01155,Saro_0231,238919,239863,alpha/beta hydrolase,944
SARO_RS01160,Saro_0232,239934,241280,hypothetical protein,1346
SARO_RS01165,Saro_0233,241371,242273,CoA ester lyase,902
SARO_RS01170,Saro_0234,242270,243529,MFS transporter,1259
SARO_RS01175,Saro_0235,243529,243966,DUF2141 domain-containing protein,437
SARO_RS01180,Saro_0236,243963,244673,sterol desaturase,710
SARO_RS01185,Saro_0237,244870,246366,ATP-dependent helicase,1496
SARO_RS01190,Saro_0238,246695,248005,peptidase M20,1310
SARO_RS20450,Saro_0239,248002,248190,DUF1289 domain-containing protein,188
SARO_RS01195,Saro_0240,248163,249485,hypothetical protein,1322
SARO_RS01200,Saro_0241,249771,250346,UPF0016 domain-containing protein,575
SARO_RS01205,Saro_0242,250407,250910,DNA repair protein MmcB-related protein,503
SARO_RS01210,NA,250928,251362,hypothetical protein,434
SARO_RS01220,Saro_0244,251857,253635,type I secretion system permease/ATPase,1778
SARO_RS01225,Saro_0245,253632,254972,HlyD family type I secretion periplasmic adaptor subunit,1340
SARO_RS01230,Saro_0246,254975,256591,Type I secretion outer membrane protein%2C TolC,1616
SARO_RS01235,Saro_0247,256820,257794,bile acid:sodium symporter,974
SARO_RS01240,Saro_0248,257827,259188,glutamate-1-semialdehyde 2%2C1-aminomutase,1361
SARO_RS01245,Saro_0249,259175,259891,TetR/AcrR family transcriptional regulator,716
SARO_RS01250,Saro_0250,260029,262320,TonB-dependent receptor,2291
SARO_RS01255,Saro_0251,262402,264123,NAD(P)/FAD-dependent oxidoreductase,1721
SARO_RS01260,Saro_0252,264168,265013,oxidoreductase,845
SARO_RS01265,Saro_0253,265107,266273,hypothetical protein,1166
SARO_RS01270,Saro_0254,266331,267662,FAD-dependent oxidoreductase,1331
SARO_RS01275,Saro_0255,268306,269598,DUF4102 domain-containing protein,1292
SARO_RS01280,NA,269700,269858,DNA-binding protein,158
SARO_RS01285,Saro_0257,270703,271512,hypothetical protein,809
SARO_RS01290,Saro_0258,271746,272366,hypothetical protein,620
SARO_RS01295,Saro_0259,272477,273949,hypothetical protein,1472
SARO_RS01300,Saro_0260,274151,276076,DUF262 domain-containing protein,1925
SARO_RS01305,Saro_0261,276073,278802,class I SAM-dependent DNA methyltransferase,2729
SARO_RS01310,Saro_0262,278799,279641,hypothetical protein,842
SARO_RS01315,NA,280220,281029,hypothetical protein,809
SARO_RS01320,Saro_0264,281100,283169,DEAD/DEAH box helicase,2069
SARO_RS01325,Saro_0265,283162,284337,hypothetical protein,1175
SARO_RS01335,Saro_0266,284896,285792,thioredoxin,896
SARO_RS01340,Saro_0267,285798,286427,ATP-dependent protease,629
SARO_RS01345,Saro_0268,286443,287063,MarC family protein,620
SARO_RS01350,Saro_0269,287068,287892,hypothetical protein,824
SARO_RS01355,Saro_0270,287952,288215,hypothetical protein,263
SARO_RS01360,Saro_0271,288402,289457,ribonucleotide-diphosphate reductase subunit beta,1055
SARO_RS01365,Saro_0272,289903,290175,DUF2171 domain-containing protein,272
SARO_RS01370,Saro_0273,290466,290951,PepSY domain-containing protein,485
SARO_RS01375,Saro_0274,291083,293059,ribonucleotide-diphosphate reductase subunit alpha,1976
SARO_RS01380,Saro_0275,293585,293833,GlsB/YeaQ/YmgE family stress response membrane protein,248
SARO_RS01385,Saro_0276,293861,295369,ATP-binding protein,1508
SARO_RS01390,Saro_0277,295554,296258,hypothetical protein,704
SARO_RS01395,Saro_0278,296295,299132,DNA polymerase I,2837
SARO_RS01400,Saro_0279,299427,299615,hypothetical protein,188
SARO_RS01405,Saro_0280,299871,300932,serine hydrolase,1061
SARO_RS01410,Saro_0281,301057,302388,phosphotransferase family protein,1331
SARO_RS01415,Saro_0282,302388,303689,acyl-CoA dehydrogenase,1301
SARO_RS01420,Saro_0283,303724,304332,hypothetical protein,608
SARO_RS01425,Saro_0284,304519,305724,S-adenosylmethionine synthase,1205
SARO_RS01430,Saro_0285,305765,307333,apolipoprotein N-acyltransferase,1568
SARO_RS01435,Saro_0286,307416,308330,DUF4167 domain-containing protein,914
SARO_RS01440,Saro_0287,308535,309401,peptide chain release factor N(5)-glutamine methyltransferase,866
SARO_RS01445,Saro_0288,309482,310546,peptide chain release factor 1,1064
SARO_RS01450,Saro_0289,310668,311927,histidine--tRNA ligase,1259
SARO_RS01455,Saro_0290,312028,313980,peptidase,1952
SARO_RS01460,Saro_0291,313874,314635,DUF1345 domain-containing protein,761
SARO_RS01465,Saro_0292,314790,315329,inorganic diphosphatase,539
SARO_RS01470,Saro_0293,315351,316694,BON domain-containing protein,1343
SARO_RS01475,Saro_0294,316744,318090,TldD/PmbA family protein,1346
SARO_RS01480,Saro_0295,318152,318571,hypothetical protein,419
SARO_RS01485,Saro_0296,318728,319504,LPS export ABC transporter ATP-binding protein,776
SARO_RS01490,Saro_0297,319545,321041,RNA polymerase sigma-54 factor,1496
SARO_RS01495,Saro_0298,321137,322000,phosphodiesterase,863
SARO_RS01500,Saro_0299,322022,323905,hypothetical protein,1883
SARO_RS01505,Saro_0300,323913,324809,hypothetical protein,896
SARO_RS01510,Saro_0301,324814,327390,4Fe-4S dicluster domain-containing protein,2576
SARO_RS01515,Saro_0302,327631,328644,tetratricopeptide repeat protein,1013
SARO_RS01520,Saro_0303,328963,329664,DNA-binding response regulator,701
SARO_RS20060,Saro_0304,329740,330558,LuxR family transcriptional regulator,818
SARO_RS01530,Saro_0305,330670,331386,tRNA (guanosine(46)-N7)-methyltransferase TrmB,716
SARO_RS01535,Saro_0306,331516,332769,DUF4102 domain-containing protein,1253
SARO_RS01540,Saro_0307,333031,333927,LysR family transcriptional regulator,896
SARO_RS01545,Saro_0308,333915,334139,DUF2274 domain-containing protein,224
SARO_RS01550,Saro_0309,334136,335332,conjugal transfer protein TraI,1196
SARO_RS01555,Saro_0310,335329,336360,P-type conjugative transfer protein TrbG,1031
SARO_RS01560,Saro_0311,336357,337040,conjugal transfer protein TrbF,683
SARO_RS01565,Saro_0312,337044,338354,P-type conjugative transfer protein TrbL,1310
SARO_RS01570,NA,338356,338676,hypothetical protein,320
SARO_RS01575,Saro_0314,338682,339458,P-type conjugative transfer protein TrbJ,776
SARO_RS01580,Saro_0315,339464,341929,conjugal transfer protein TrbE,2465
SARO_RS01585,Saro_0316,341936,342211,conjugal transfer protein,275
SARO_RS01590,Saro_0317,342211,342549,conjugal transfer protein TrbC,338
SARO_RS01595,Saro_0318,342540,343523,P-type conjugative transfer ATPase TrbB,983
SARO_RS01600,Saro_0319,343777,344160,hypothetical protein,383
SARO_RS01605,Saro_0320,344157,346142,conjugal transfer protein TraG,1985
SARO_RS01610,Saro_0321,346387,346593,hypothetical protein,206
SARO_RS01615,Saro_0322,347120,347647,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase,527
SARO_RS01620,Saro_0323,347644,349131,cobyric acid synthase,1487
SARO_RS01625,Saro_0324,349119,350069,cobalamin biosynthesis protein CobD,950
SARO_RS01630,Saro_0325,350062,351045,threonine-phosphate decarboxylase,983
SARO_RS01635,Saro_0326,351042,351782,adenosylcobinamide-GDP ribazoletransferase,740
SARO_RS01640,Saro_0327,351779,352348,phosphoglycerate mutase,569
SARO_RS01645,Saro_0328,352345,353361,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,1016
SARO_RS01650,Saro_0329,353358,353765,DUF1636 domain-containing protein,407
SARO_RS01655,Saro_0330,353791,354438,5%2C6-dimethylbenzimidazole synthase,647
SARO_RS01660,Saro_0331,354453,355079,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,626
SARO_RS01665,Saro_0332,355069,355833,precorrin-6A synthase (deacetylating),764
SARO_RS01670,Saro_0333,355830,357164,cobyrinate a%2Cc-diamide synthase,1334
SARO_RS01675,Saro_0334,357161,357946,precorrin-4 C(11)-methyltransferase,785
SARO_RS01680,Saro_0335,357943,358323,precorrin methylase,380
SARO_RS01685,Saro_0336,358320,359528,bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase,1208
SARO_RS01690,Saro_0337,359527,360288,cobalt-precorrin-6A reductase,761
SARO_RS01695,Saro_0338,360252,361025,precorrin-3B C(17)-methyltransferase,773
SARO_RS01700,Saro_0339,361037,361774,precorrin-2 C(20)-methyltransferase,737
SARO_RS01705,Saro_0340,361771,362400,precorrin-8X methylmutase,629
SARO_RS01710,Saro_0341,362400,363545,precorrin-3B synthase,1145
SARO_RS01715,Saro_0342,363542,366826,cobaltochelatase subunit CobN,3284
SARO_RS01720,Saro_0343,366837,367889,cobalamin biosynthesis protein CobW,1052
SARO_RS01725,Saro_0344,368386,369432,HoxN/HupN/NixA family nickel/cobalt transporter,1046
SARO_RS01730,Saro_0345,369514,371610,TonB-dependent receptor,2096
SARO_RS01735,Saro_0346,372308,373762,hypothetical protein,1454
SARO_RS01740,Saro_0348,374343,375047,hypothetical protein,704
SARO_RS01745,Saro_0349,375088,376569,DUF2779 domain-containing protein,1481
SARO_RS20065,Saro_0350,376858,378921,McrBC 5-methylcytosine restriction system component-like,2063
SARO_RS01755,Saro_0351,378931,379908,WYL domain-containing protein,977
SARO_RS01760,Saro_0352,379978,385092,DUF1998 domain-containing protein,5114
SARO_RS01765,Saro_0353,385089,387890,helicase,2801
SARO_RS01770,Saro_0354,387890,391849,type II DNA modification enzyme,3959
SARO_RS20455,Saro_0355,391849,392592,hypothetical protein,743
SARO_RS01780,Saro_0356,392607,393173,hypothetical protein,566
SARO_RS01785,Saro_0357,393322,394233,DNA-binding protein,911
SARO_RS01790,Saro_0358,394230,395027,HNH endonuclease,797
SARO_RS01795,Saro_0359,395159,396898,DUF3363 domain-containing protein,1739
SARO_RS01800,Saro_0360,397143,397844,lytic transglycosylase domain-containing protein,701
SARO_RS01805,Saro_0361,397848,398180,DUF736 domain-containing protein,332
SARO_RS01810,Saro_0362,398177,398755,conjugal transfer protein,578
SARO_RS01815,Saro_0363,398752,399291,DUF2840 domain-containing protein,539
SARO_RS01820,Saro_0364,399438,400316,RepA replication protein,878
SARO_RS01825,Saro_0365,400326,400598,DNA-binding protein,272
SARO_RS20460,Saro_0366,400725,401258,DUF2285 domain-containing protein,533
SARO_RS01835,Saro_0367,401654,401917,DUF2285 domain-containing protein,263
SARO_RS01840,Saro_0368,402133,402363,XRE family transcriptional regulator,230
SARO_RS01845,Saro_0369,402413,402736,DUF736 domain-containing protein,323
