"","Gene","Product","logFC"
"39","SARO_RS15170","hypothetical protein",-1.31475822835803
"40","SARO_RS17385","chromosome partitioning protein",-1.31202510004267
"41","SARO_RS03070","sterol desaturase",-1.31040873370213
"42","SARO_RS15145","hypothetical protein",-1.27413183390109
"43","SARO_RS08225","hypothetical protein",-1.25677180534699
"44","SARO_RS12855","NADPH-dependent 7-cyano-7-deazaguanine reductase QueF",-1.233326760409
"45","SARO_RS10965","helix-turn-helix transcriptional regulator",-1.20151866739909
"46","SARO_RS20865","glycosyltransferase WbuB",-1.18851306697281
"47","SARO_RS09720","methionine--tRNA ligase",-1.18534756814935
"48","SARO_RS15785","response regulator",-1.17840083298518
"49","SARO_RS16255","hypothetical protein",-1.17796356074256
"50","SARO_RS10565","pilus protein PilZ",-1.1384132919622
"51","SARO_RS19135","GGDEF-domain containing protein",-1.13075319292641
"52","SARO_RS07125","GGDEF domain-containing protein",-1.12081639813731
"53","SARO_RS14175","hypothetical protein",-1.11913560725682
"54","SARO_RS05315","transcriptional regulator",-1.11578891866456
"55","SARO_RS07035","GGDEF-domain containing protein",-1.10981379149701
"56","SARO_RS10795","heavy metal translocating P-type ATPase",-1.10632828915167
"57","SARO_RS08380","aromatic ring-hydroxylating dioxygenase subunit alpha",-1.0914919015786
"58","SARO_RS09610","DUF952 domain-containing protein",-1.09104126939493
"59","SARO_RS04760","VOC family protein",-1.0871501257723
"60","SARO_RS14775","xylan 1%2C4-beta-xylosidase",-1.07402792013296
"61","SARO_RS04640","50S ribosomal protein L21",-1.07201927119956
"62","SARO_RS03060","TonB-dependent receptor",-1.0634042990459
"63","SARO_RS05690","hypothetical protein",-1.06152022368952
"64","SARO_RS13350","hypothetical protein",-1.04995921917952
"65","SARO_RS10305","sugar transferase",-1.03827573006276
"66","SARO_RS09295","CpaF family protein",-1.02884301933239
"67","SARO_RS00520","ribulose-phosphate 3-epimerase",-1.02502746089783
"68","SARO_RS11460","phosphate ABC transporter substrate-binding protein",-1.01774979869747
"69","SARO_RS07070","aspartate-semialdehyde dehydrogenase",-1.01143371475788
"70","SARO_RS12530","DUF1697 domain-containing protein",-0.997517966880072
"71","SARO_RS12505","tRNA pseudouridine(55) synthase TruB",-0.994863941359975
"72","SARO_RS06580","F0F1 ATP synthase assembly protein I",-0.990855211161475
"73","SARO_RS08830","integral membrane sensor protein",-0.975027263124287
"74","SARO_RS20180","PAS domain S-box protein",-0.97108371873925
"75","SARO_RS05365","type II secretion system F family protein",-0.95558850866415
"76","SARO_RS05320","GNAT family N-acetyltransferase",-0.946720182053403
"77","SARO_RS06380","recombinase RecA",-0.936047706284643
"78","SARO_RS13565","phosphate porin",-0.931598897857893
"79","SARO_RS05515","bifunctional diguanylate cyclase/phosphodiesterase",-0.919597740256064
"80","SARO_RS10295","PEP-CTERM-box response regulator transcription factor",-0.918757796577975
"81","SARO_RS17395","topoisomerase",-0.912825450663407
"82","SARO_RS11830","energy-dependent translational throttle protein EttA",-0.903034295274195
"83","SARO_RS11565","hypothetical protein",-0.875877566089296
"84","SARO_RS10780","copper-translocating P-type ATPase",-0.864233163717047
"85","SARO_RS05665","D-alanine--D-alanine ligase",-0.855639318167397
"86","SARO_RS13495","GGDEF-domain containing protein",-0.832197273731977
"87","SARO_RS09810","DNA repair protein RadA",-0.799338898783211
"88","SARO_RS14695","DNA recombination protein RmuC",-0.796642017008541
"89","SARO_RS12895","nitrite/sulfite reductase",-0.795771777993941
"90","SARO_RS11755","sugar ABC transporter substrate-binding protein",-0.77738583493563
"91","SARO_RS05645","cell division protein FtsW",-0.754569146919813
"92","SARO_RS09735","D-alanyl-D-alanine carboxypeptidase",-0.74954482160773
"93","SARO_RS04720","protein-S-isoprenylcysteine methyltransferase",-0.73905350303779
"94","SARO_RS19790","Cache sensor signal transduction histidine kinase",-0.717115708031151
"95","SARO_RS05395","peptidase",-0.712658274389217
"96","SARO_RS09965","GGDEF domain-containing protein",-0.709410452536308
"97","SARO_RS18830","chromosome partitioning protein",-0.694871906126368
"98","SARO_RS10460","acetyl-CoA carboxylase biotin carboxylase subunit",-0.687265359249516
"99","SARO_RS10300","PEP-CTERM system histidine kinase PrsK",-0.685710794743036
"100","SARO_RS01755","WYL domain-containing protein",-0.682825364126279
"101","SARO_RS16170","undecaprenyl-diphosphatase",-0.671536370811809
"102","SARO_RS05655","UDP-N-acetylmuramate--L-alanine ligase",-0.656589456617282
"103","SARO_RS11490","hypothetical protein",-0.651874916917475
"104","SARO_RS00495","CDP-alcohol phosphatidyltransferase",-0.638187915296866
"105","SARO_RS05675","cell division protein FtsA",-0.634566886454537
"106","SARO_RS05370","type II secretion system protein",-0.620237240786546
"107","SARO_RS14105","excinuclease ABC subunit UvrB",-0.576903550545601
